"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_185743_coefficient","contrast_185743_log2fc","contrast_185743_tstat","contrast_185743_pvalue"
"143",235469,235469,"ENSMUSG00000038535","Zfp280d","zinc finger protein 280D",1e-04,0.023,0.0047,0.1126,0.1126,2.9134,0.0059
"144",235907,235907,"ENSMUSG00000071281","Zfp65","zinc finger protein 65",1e-04,0.023,0.0046,0.1929,0.1929,3.4967,0.0012
"145",74646,74646,"ENSMUSG00000039911","Spsb1","splA/ryanodine receptor domain and SOCS box containing 1",1e-04,0.023,0.0048,0.2111,0.2111,2.7766,0.0084
"146",234407,234407,"ENSMUSG00000034807","Colgalt1","collagen beta(1-O)galactosyltransferase 1",1e-04,0.023,0.0047,-0.173,-0.173,-5.0175,1.168e-05
"147",66968,66968,"ENSMUSG00000011305","Plin5","perilipin 5",1e-04,0.023,0.0047,-0.6697,-0.6697,-4.3421,9.625e-05
"148",381413,381413,"ENSMUSG00000040133","Gpr176","G protein-coupled receptor 176",1e-04,0.0236,0.0048,-0.0923,-0.0923,-1.9238,0.0617
"149",320247,320247,"","C030023E24Rik","RIKEN cDNA C030023E24 gene",1e-04,0.0238,0.0049,-0.2504,-0.2504,-2.7814,0.0083
"150",320469,320469,"ENSMUSG00000097493","9930014A18Rik","RIKEN cDNA 9930014A18 gene",1e-04,0.0238,0.0048,0.3223,0.3223,2.4013,0.0212
"151",241159,241159,"ENSMUSG00000034000","Neu4","sialidase 4",1e-04,0.024,0.0049,0.1541,0.1541,2.5441,0.015
"152",12921,12921,"ENSMUSG00000018634","Crhr1","corticotropin releasing hormone receptor 1",1e-04,0.0242,0.0051,-0.3547,-0.3547,-3.4729,0.0013
"153",102639428,102639428,"","LOC102639428","uncharacterized LOC102639428",1e-04,0.0242,0.0051,-0.9701,-0.9701,-2.5133,0.0162
"154",319901,319901,"ENSMUSG00000038702","Dsel","dermatan sulfate epimerase-like",1e-04,0.0242,0.0052,0.2154,0.2154,4.4432,7.052e-05
"155",74104,74104,"ENSMUSG00000026198","Abcb6","ATP-binding cassette, sub-family B member 6",1e-04,0.0242,0.005,-0.1823,-0.1823,-3.2017,0.0027
"156",17750,17750,"ENSMUSG00000031762","Mt2","metallothionein 2",1e-04,0.0242,0.0049,0.4053,0.4053,3.0673,0.0039
"157",110109,110109,"ENSMUSG00000038279","Nop2","NOP2 nucleolar protein",1e-04,0.0242,0.005,-0.1143,-0.1143,-2.2219,0.0321
"158",269630,269630,"ENSMUSG00000073147","5031425E22Rik","RIKEN cDNA 5031425E22 gene",1e-04,0.0242,0.0051,0.2118,0.2118,3.6091,9e-04
"159",66602,66602,"ENSMUSG00000085438","Oip5os1","Opa interacting protein 5, opposite strand 1",1e-04,0.0242,0.005,0.1937,0.1937,2.7495,0.009
"160",105244749,105244749,"","Gm40305","predicted gene, 40305",1e-04,0.0242,0.0055,-0.377,-0.377,-1.299,0.2015
"161",18627,18627,"ENSMUSG00000055866","Per2","period circadian clock 2",1e-04,0.0242,0.0054,-0.3829,-0.3829,-2.8266,0.0074
"162",240322,240322,"ENSMUSG00000053441","Adamts19","ADAM metallopeptidase with thrombospondin type 1 motif 19",1e-04,0.0242,0.0053,-0.9493,-0.9493,-2.9869,0.0048
"163",65112,65112,"ENSMUSG00000038400","Pmepa1","prostate transmembrane protein, androgen induced 1",1e-04,0.0242,0.0055,0.1471,0.1471,3.3318,0.0019
"164",105245414,105245414,"","Gm40873","predicted gene, 40873",1e-04,0.0242,0.0054,-1.1052,-1.1052,-3.5152,0.0011
"165",19159,19159,"ENSMUSG00000018001","Cyth3","cytohesin 3",1e-04,0.0242,0.0052,-0.1023,-0.1023,-2.8273,0.0074
"166",93834,93834,"ENSMUSG00000021846","Peli2","pellino 2",1e-04,0.0242,0.0053,0.0887,0.0887,1.8353,0.074
"167",241490,241490,"ENSMUSG00000042369","Rbm45","RNA binding motif protein 45",1e-04,0.0242,0.0054,0.1302,0.1302,3.5179,0.0011
"168",232854,232854,"ENSMUSG00000034538","Zfp418","zinc finger protein 418",1e-04,0.0242,0.0055,-0.335,-0.335,-3.8751,4e-04
