"","GSE270831_social isolation"
"60663",-5e-04
"60664",0.3002
"60665",1.2463
"60666",-0.7353
"60667",0.0335
"60669",-0.1339
"60670",0.147
"60671",-0.2539
"63835",0.1311
"63839",0.0354
"63840",0.1429
"63843",-0.1772
"63845",0.0624
"63847",-0.2541
"63848",0.017
"63849",-0.0154
"63850",-0.3753
"63851",0.1282
"63852",-0.3046
"63864",-0.1321
"63866",-1.2206
"63878",0.4059
"63879",0.0559
"63882",-0.0279
"63883",-0.8454
"63887",-0.9798
"63888",0.1482
"63889",0.4606
"63912",0.4944
"63995",0.0482
"63997",-0.0371
"64015",-0.0957
"64016",0.0147
"64017",-0.3175
"64018",0.0639
"64022",0.1629
"64025",0.1808
"64026",0.0755
"64030",0.042
"64032",-0.076
"64033",0.5185
"64035",-0.7692
"64036",-0.6606
"64037",0.1977
"64040",0.2853
"64041",0.1334
"64042",0.4613
"64043",0.2747
"64044",0.2305
"64047",0.5647
"64055",0.0057
"64057",0.1621
"64076",-0.0876
"64088",-0.0619
"64107",-0.3758
"64119",0.3424
"64120",0.1597
"64124",0.4591
"64133",0.3004
"64155",0.1982
"64156",-0.0926
"64169",0.2236
"64171",0.013
"64186",0.462
"64190",-0.3737
"64192",-0.267
"64193",0.0524
"64194",-0.0501
"64195",-0.4115
"64199",-0.1206
"64203",-0.1818
"64204",0.2141
"64206",5.483e-05
"64298",-0.1557
"64304",-0.0025
"64306",-0.1136
"64316",0.048
"64317",-0.0378
"64322",-0.2218
"64345",-1.1215
"64347",0.4125
"64348",0.4747
"64349",0.0959
"64350",0.061
"64354",0.5131
"64355",0.4684
"64357",0.2152
"64360",-0.0418
"64362",-0.0967
"64364",-0.0033
"64372",-0.1944
"64387",-0.0199
"64392",0.0565
"64440",0.0109
"64443",-0.4008
"64455",-0.1027
"64458",-0.1537
"64459",0.0928
"64461",0.0178
"64466",-0.2226
"64467",0.0466
"64468",-0.1674
"64469",0.0213
"64475",-0.1078
"64507",0.7735
"64512",0.0633
"64513",-0.1066
"64515",0.1539
"64519",0.0955
"64521",0.0392
"64522",1.9709
"64523",0.1728
"64525",-0.2105
"64531",-0.185
"64532",0.168
"64533",-0.1954
"64535",1.0362
"64536",-0.2162
"64537",-0.3962
"64539",-0.1382
"64543",-0.7616
"64544",-0.1222
"64545",0.7298
"64547",0.1174
"64549",0.816
"64551",-0.0808
"64552",0.1115
"64553",0.2142
"64554",0.6082
"64555",0.2492
"64557",0.6744
"64561",0.1589
"64563",0.5886
"64564",-1.2072
"64566",-0.1528
"64568",-0.3737
"64569",-0.1604
