"","GSE179081_physical activity derived from voluntary running"
"14376",1.4306
"14381",0.942
"14385",0.6892
"14387",-1.0999
"14388",-1.8101
"14389",-1.5303
"14390",0.0083
"14391",-0.0395
"14394",0.5806
"14395",-0.2859
"14396",-1.033
"14397",1.0032
"14400",0.3439
"14401",0.7207
"14402",0.3003
"14403",0.6786
"14404",0.0371
"14405",1.2562
"14406",3.8676
"14407",-1.1917
"14408",-0.89
"14409",-1.4485
"14411",-0.4735
"14412",-1.8556
"14415",0.5555
"14417",-1.1846
"14419",1.0337
"14420",1.4879
"14421",-1.2475
"14422",1.2693
"14423",0.257
"14425",-0.0224
"14426",-0.6858
"14427",-0.6731
"14428",0.0018
"14430",0.4513
"14431",-0.3294
"14432",0.2173
"14433",-0.8105
"14447",-1.5164
"14450",0.2423
"14451",0.7267
"14453",1.1182
"14455",2.2239
"14456",1.0138
"14457",0.1744
"14461",-1.4021
"14465",-1.94
"14466",-2.0774
"14467",1.3822
"14469",-1.5387
"14470",2.3213
"14479",0.3393
"14489",1.5709
"14527",0.0251
"14528",-0.1004
"14533",1.2272
"14534",-2.3008
"14536",-1.4144
"14537",-0.7262
"14538",-0.0628
"14539",0.0168
"14544",0.9707
"14545",0.3106
"14547",-0.0669
"14548",1.0764
"14555",0.1663
"14559",-1.1633
"14560",-0.7316
"14561",1.1968
"14563",-1.1489
"14566",-0.1395
"14567",-0.3045
"14569",1.3417
"14570",0.3713
"14571",0.5855
"14573",-0.7961
"14579",-0.0982
"14580",-2.059
"14583",-0.1259
"14584",0.2611
"14585",0.2501
"14586",-0.3897
"14588",-0.915
"14590",1.4227
"14593",-0.1705
"14594",-1.5428
"14595",1.0359
"14598",-0.2433
"14600",0.0412
"14601",-2.2819
"14603",-0.2951
"14605",-1.9132
"14608",0.6705
"14609",-0.7803
"14611",0.2621
"14612",-0.6385
"14613",-1.9392
"14615",0.0963
"14617",0.1274
"14618",-1.4138
"14619",0.5685
"14620",-0.4075
"14621",-0.3544
"14623",-1.0112
"14626",1.1852
"14628",2.17
"14629",-1.5173
"14630",-1.2284
"14632",-0.7809
"14633",-1.9766
"14634",-1.6569
"14635",0.4484
"14645",-0.6224
"14651",1.7977
"14652",0.1291
"14657",-1.5753
"14658",0.7644
"14659",0.3848
"14660",0.9241
"14661",0.9069
"14663",0.1699
"14664",-1.3017
"14667",0.1923
"14670",0.173
"14672",0.2323
"14673",-2.822
"14674",0.9621
"14675",-1.6164
"14676",-2.1646
"14677",0.627
"14678",-2.0881
"14679",3.0567
"14680",0.6939
"14681",-1.3911
"14682",0.8386
"14683",-0.0428
"14686",-1.4039
"14687",-1.7122
"14688",1.2345
"14693",0.6281
"14694",1.6417
"14696",0.4903
"14697",0.0297
"14700",2.007
"14701",-2.0298
"14702",0.7656
"14704",-1.1529
"14705",-0.9134
"14706",1.0015
"14707",1.2658
"14708",-0.4021
"14709",-1.2716
"14710",-0.5822
"14711",-0.0024
"14712",0.4985
"14714",0.2992
"14718",0.9727
