"","GSE184615_enrichment"
"13836",-0.705
"13837",0.6665
"13838",-1.7613
"13839",0.0262
"13840",-0.5439
"13841",-3.2737
"13842",0.2314
"13844",1.7127
"13845",-1.7394
"13846",1.1463
"13848",0.6536
"13849",-1.2468
"13850",-0.9568
"13852",2.6076
"13853",-0.4102
"13854",-1.1239
"13855",-1.6185
"13857",-3.0136
"13858",0.6835
"13859",-0.5708
"13860",0.2582
"13861",1.9271
"13864",-0.1284
"13865",1.4625
"13866",0.4004
"13867",1.6948
"13869",1.1512
"13870",-0.9878
"13871",0.6159
"13872",0.3707
"13875",-1.9625
"13876",-0.7508
"13877",-0.2796
"13885",-0.4226
"13929",0.5425
"13972",-0.9262
"13982",0.222
"13983",1.6408
"13990",-0.0988
"13992",0.6182
"13996",1.6879
"13998",-0.1193
"14000",1.057
"14004",0.2686
"14007",0.9365
"14009",1.2324
"14011",0.7926
"14012",-0.3399
"14013",1.0721
"14017",-1.6265
"14020",-0.9788
"14025",-0.1875
"14026",0.5783
"14027",0.5953
"14030",-0.5371
"14038",-0.4676
"14042",0.1572
"14043",-0.1726
"14048",0.2161
"14049",1.3618
"14050",1.6091
"14051",0.2677
"14055",-3.7992
"14056",-1.7837
"14057",-1.4048
"14062",1.3084
"14064",-0.1266
"14066",0.3203
"14067",0.4975
"14069",-0.7261
"14070",0.2496
"14073",-1.2006
"14077",1.4043
"14081",0.4683
"14082",-1.4793
"14083",-1.3607
"14084",0.3307
"14085",-1.3186
"14086",2.9843
"14087",1.5059
"14088",-1.3396
"14089",0.8362
"14102",1.5107
"14104",-0.0662
"14105",-1.2437
"14106",-1.7802
"14107",1.8529
"14109",-0.4556
"14113",-1.0088
"14114",0.8793
"14115",1.643
"14118",1.1001
"14119",0.834
"14123",0.0715
"14127",0.8663
"14128",-0.5822
"14129",-0.0934
"14130",0.9034
"14131",-0.9156
"14132",2.2928
"14137",0.1425
"14148",0.0865
"14149",0.2829
"14151",0.3105
"14154",-0.969
"14155",1.0204
"14156",-1.6621
"14158",-0.6408
"14159",1.3106
"14160",1.3298
"14163",0.1768
"14164",0.7685
"14165",-1.0873
"14166",1.5615
"14167",1.1774
"14168",0.6756
"14169",0.7261
"14172",-1.3938
"14173",-1.0814
"14176",-0.8638
"14178",0.3436
"14180",-1.4611
"14181",1.8849
"14182",0.8982
"14183",-2.1309
"14184",-1.8163
"14187",0.4732
"14190",2.2153
"14194",1.0498
"14198",-0.1242
"14199",1.8502
"14200",-0.0802
"14201",1.7691
"14202",-1.3038
"14204",-0.7123
"14205",1.7172
"14208",-0.9065
"14211",0.392
"14218",-0.2872
"14219",1.8119
"14221",1.831
"14225",0.6483
"14226",-0.1672
"14227",-1.1216
"14228",-1.2508
"14229",-1.4678
"14230",0.6721
"14231",-0.9975
"14232",-0.2955
"14234",0.4605
"14235",1.3674
"14236",-2.7139
"14238",-1.1135
"14239",-0.2774
"14245",-1.2371
"14247",1.03
"14248",-0.3797
"14251",-1.3472
"14252",1.2556
"14254",-2.1023
"14255",-1.4745
"14256",0.6037
"14257",-1.24
"14260",-2.0232
"14261",3.306
"14263",1.0612
"14264",1.2329
"14265",0.4792
"14266",0.2794
"14268",2.3692
"14269",-0.5278
"14270",0.3964
"14272",0.8009
"14275",0.0354
"14276",0.378
"14281",1.5479
"14282",-0.1255
"14284",1.6876
"14287",0.1791
"14296",-2.6857
"14297",-0.4655
"14299",-0.652
"14300",-1.3132
"14302",1.0601
"14312",1.7869
"14313",0.304
"14314",2.5873
"14319",-4.132
"14325",0.3277
"14339",-2.5327
"14344",-1.4679
"14345",0.1817
"14348",0.7313
"14349",-0.0321
"14356",-0.3883
"14357",1.4624
"14359",-1.5326
"14360",2.4916
"14362",1.6098
"14365",2.3566
"14366",0.7996
"14367",0.7379
"14368",1.9123
"14369",-0.9045
"14370",-1.1085
"14371",-1.0151
"14373",-0.6959
"14375",0.1986
"14376",0.0039
"14381",-2.4431
"14385",1.3108
"14387",2.1264
"14388",0.7765
"14389",0.1077
"14390",0.6059
"14391",0.1139
"14394",0.2451
"14395",1.3254
"14396",1.616
"14397",-0.4462
"14399",-3.3526
"14400",1.19
"14401",-0.0854
"14402",0.3628
"14403",-2.9047
"14405",-1.1004
"14406",-0.1132
"14407",0.8972
"14409",-1.4361
"14411",1.1262
"14412",0.5261
"14415",-2.5528
"14417",0.0542
"14419",-1.8699
"14420",-0.0556
"14421",-1.5881
"14423",0.5789
"14425",0.7213
"14426",0.9947
"14427",1.9434
"14428",0.7144
"14430",0.0079
"14431",2.3296
"14432",2.9169
"14433",0.4868
"14450",-1.1434
"14451",0.516
"14453",-0.8538
"14455",-4.3957
"14456",0.6533
"14457",1.8088
"14461",-0.0366
"14466",-0.7532
"14467",-0.2345
"14469",-0.9572
"14470",-0.2845
"14479",1.0861
"14489",1.7078
"14528",-1.3642
"14533",0.1317
"14534",0.3038
"14536",0.1922
"14537",0.3356
"14538",0.5304
"14544",3.0083
"14545",1.0088
"14547",-0.9695
"14548",0.2145
"14555",0.1692
"14559",0.7517
"14560",3.1497
"14561",0.071
"14563",-1.8783
"14566",0.6124
"14567",0.0285
"14569",-0.7822
"14570",1.3167
"14571",0.3911
"14579",1.4367
"14580",0.1484
"14583",-0.2946
"14584",-0.1748
"14585",0.4145
"14586",-0.2313
"14588",-1.4124
"14590",0.4491
"14593",-0.4541
"14594",0.1472
"14595",1.4142
"14598",1.4862
"14600",-1.1546
"14605",-0.2371
"14608",-0.4473
"14609",2.2506
"14611",2.8893
"14612",0.6755
"14613",1.9549
"14615",1.2376
"14617",0.6108
"14618",-0.4155
"14619",1.3682
"14623",0.6549
"14628",-0.8216
"14629",-0.2888
"14630",-0.0215
"14632",1.0349
"14633",0.4429
"14634",1.1783
"14635",1.9076
"14645",-0.3636
"14651",-1.0552
"14652",0.3826
"14654",-0.1804
"14657",-0.9331
"14658",0.0217
"14660",0.0675
"14661",0.1681
"14664",0.1312
"14667",1.9763
"14670",-0.7414
"14672",-1.7125
"14673",0.2669
"14674",-0.5475
"14675",0.5613
"14676",-0.3391
"14677",0.8911
"14678",-0.0367
"14679",0.3687
"14680",-1.6932
"14681",1.1917
"14682",-0.0967
"14687",0.8798
"14688",1.4312
"14693",-0.0841
"14694",0.3808
"14696",5.4469
"14697",-0.5193
"14700",-2.343
"14701",2.5753
"14702",-0.6022
"14704",3.5629
"14705",0.8712
"14706",1.6404
"14707",0.4267
"14708",0.1423
"14709",-0.3441
"14710",-0.458
"14712",-0.2535
"14718",-1.3648
"14719",-0.4419
"14723",0.3137
"14724",0.8425
"14725",0.962
"14726",0.6397
"14729",-0.9143
"14731",0.7773
"14732",0.7817
"14733",-1.6983
"14734",2.5126
"14735",0.155
"14738",-2.0043
"14739",-0.6714
"14745",1.9086
"14747",-1.6166
"14748",0.1927
"14751",0.0234
"14755",1.4048
"14756",-0.138
"14758",-0.4963
"14760",-0.12
"14761",0.0855
"14763",-1.6859
"14766",1.0732
"14768",-2.7496
"14772",-0.3952
"14773",0.7942
"14775",0.3878
"14778",0.5403
"14782",-1.2681
"14783",1.3299
"14784",0.1991
"14786",0.6521
"14787",0.5788
"14788",0.5922
"14789",-2.8251
"14790",0.6032
"14791",-1.3627
"14792",0.506
"14793",-0.4208
"14794",-1.2528
"14797",-1.1035
"14799",-1.3861
"14800",-0.7242
"14802",1.6848
"14803",0.8909
"14804",-0.1998
"14805",1.9321
"14806",0.2136
"14807",2.2691
"14809",0.3887
"14810",-0.3028
"14811",-0.5658
"14812",0.363
"14813",-1.0192
"14814",0.5035
"14815",-1.1972
"14816",-2.6413
"14823",1.5236
"14824",0.8027
"14827",0.4888
"14828",-0.3509
"14829",0.3893
"14852",1.5089
"14853",-0.0838
"14854",1.4232
"14858",0.9502
"14859",-0.01
"14860",-1.5187
"14862",0.0162
"14863",0.5124
"14865",1.3252
"14866",-0.1854
"14867",-0.8317
"14869",0.0668
"14870",-2.0138
"14871",-1.1902
"14872",-1.4837
"14873",1.7155
"14874",-1.0622
"14884",0.7466
"14885",0.2584
"14886",1.2767
"14894",0.3235
"14897",1.1417
"14904",-1.2597
"14910",2.1908
"14911",0.0711
"14912",-0.2338
"14919",-0.4945
"14923",-1.2894
"14924",0.3909
"14933",-1.7618
"14934",0.9835
"14936",1.2961
"14950",0.8262
"14955",-1.7936
"14957",-0.8809
"14958",2.0796
"14960",-0.9354
"14961",0.5759
"14962",0.0211
"14964",-1.5686
"14969",0.1375
"14972",-1.7253
"14976",-0.0817
"14977",-2.6496
"14979",-0.8914
"14991",0.1258
"14998",-0.4134
"14999",-1.3841
"15000",0.8115
"15001",-0.594
"15002",-1.7349
"15006",2.1837
"15013",1.5122
"15015",-0.9691
"15024",-1.9447
"15039",-1.9376
"15040",0.0169
