"","Probe","NCBIid","gene_ensembl_id","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_17283_coefficient","contrast_17283_log2fc","contrast_17283_tstat","contrast_17283_pvalue"
"5461","1382375_at","64566","ENSRNOG00000015618","Wnt5a","Wnt family member 5A",0.4852,0.9257,0.5241,0.0615,0.0615,0.6399,0.5336
"5462","1387381_at","83620","ENSRNOG00000001143","Cit","citron rho-interacting serine/threonine kinase",0.4853,0.9258,0.5242,0.061,0.061,1.0422,0.3167
"5463","1370349_a_at","619560","ENSRNOG00000045799","Rup2","urinary protein 2",0.4858,0.9264,0.5244,-0.0247,-0.0247,-0.601,0.5584
"5464","1368608_at","54246","ENSRNOG00000032805","Cyp2f4","cytochrome P450, family 2, subfamily f, polypeptide 4",0.4861,0.9268,0.5245,0.012,0.012,0.2421,0.8126
"5465","1372533_at","297504","ENSRNOG00000055365","Edem1","ER degradation enhancing alpha-mannosidase like protein 1",0.4861,0.9268,0.5244,0.0013,0.0013,0.018,0.9859
"5466","1371605_at","299739","ENSRNOG00000007407","Ndufa12","NADH:ubiquinone oxidoreductase subunit A12",0.4864,0.9271,0.5246,0.0324,0.0324,0.5066,0.6211
"5467","1372467_at","316325","ENSRNOG00000014516","Hs6st1","heparan sulfate 6-O-sulfotransferase 1",0.4865,0.9273,0.5247,-0.0335,-0.0335,-0.4424,0.6656
"5468","1388730_at","303653","ENSRNOG00000028946","Cdc42ep4","CDC42 effector protein 4",0.4868,0.9275,0.5247,0.0367,0.0367,0.6542,0.5246
"5469","1374643_at","310341","ENSRNOG00000028335","Fat4","FAT atypical cadherin 4",0.4868,0.9275,0.5248,-0.0478,-0.0478,-0.9767,0.3469
"5470","1374574_at","300836","ENSRNOG00000058522","Atosa","atos homolog A",0.487,0.9275,0.525,0.0451,0.0451,0.6171,0.548
